Pool Price,,,
,,,
,,,
,,,
Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
09/07/2020 15,29.16,38.4,8920
09/07/2020 16,29.18,38.42,8874
09/07/2020 17,29.6,38.43,8957
09/07/2020 18,33.66,38.44,9016
09/07/2020 19,33.62,38.45,8899
09/07/2020 20,37.33,38.48,8870
09/07/2020 21,37.66,38.52,8991
09/07/2020 22,36.29,38.55,8892
09/07/2020 23,35.05,38.56,8592
09/07/2020 24,33.78,38.57,8311
09/08/2020 01,34.67,38.57,8099
09/08/2020 02,31.53,38.58,7983
09/08/2020 03,30.95,38.58,7918
09/08/2020 04,29.3,38.59,7907
09/08/2020 05,29.98,38.6,7944
09/08/2020 06,27.28,38.61,8084
09/08/2020 07,29.28,38.62,8455
09/08/2020 08,29.64,38.64,8821
09/08/2020 09,31.03,38.65,9006
09/08/2020 10,31.18,38.66,9067
09/08/2020 11,29.57,38.66,9163
09/08/2020 12,33.46,38.67,9237
09/08/2020 13,29.9,38.67,9214
09/08/2020 14,33.41,38.68,9222
09/08/2020 15,33.94,38.68,9238
09/08/2020 16,36.81,38.69,9260
09/08/2020 17,37.74,38.71,9309
09/08/2020 18,37.66,38.72,9297
09/08/2020 19,37.67,38.73,9139
09/08/2020 20,37.69,38.74,9012
09/08/2020 21,55.8,38.78,8987
09/08/2020 22,35.88,38.78,8892
09/08/2020 23,33.42,38.79,8564
09/08/2020 24,29.94,38.8,8244
09/09/2020 01,29.38,38.83,8049
09/09/2020 02,29.52,38.87,7930
09/09/2020 03,29.47,38.91,7860
09/09/2020 04,29.49,38.95,7854
09/09/2020 05,29.51,38.99,7871
09/09/2020 06,30.27,39,8021
09/09/2020 07,33.44,39.01,8376
09/09/2020 08,33.37,39.03,8651
09/09/2020 09,33.95,39.04,8816
09/09/2020 10,33.9,39.05,8957
09/09/2020 11,37.48,39.05,9099
09/09/2020 12,40.64,39.06,9239
09/09/2020 13,40.32,39.08,9325
09/09/2020 14,40.8,39.09,9393
09/09/2020 15,89.73,39.17,9350
09/09/2020 16,223.37,39.44,9321
09/09/2020 17,296.05,39.81,9379
09/09/2020 18,190.32,40.03,9371
09/09/2020 19,42.43,40.05,9241
09/09/2020 20,37.93,40.06,9205
09/09/2020 21,40.19,40.07,9280
09/09/2020 22,39.36,40.09,9133
09/09/2020 23,36.31,40.11,8792
09/09/2020 24,31.19,40.12,8412
09/10/2020 01,29.5,40.14,8184
09/10/2020 02,28.82,40.15,8112
09/10/2020 03,25.5,40.16,8050
09/10/2020 04,25.67,40.16,8029
09/10/2020 05,25.67,40.17,8028
09/10/2020 06,28.83,40.18,8128
09/10/2020 07,30.26,40.19,8473
09/10/2020 08,30.85,40.19,8816
09/10/2020 09,36.54,40.19,8999
09/10/2020 10,37.14,40.2,9120
09/10/2020 11,37.52,40.2,9258
09/10/2020 12,36.64,40.2,9360
09/10/2020 13,36.73,40.2,9389
09/10/2020 14,36.58,40.19,9403
09/10/2020 15,36.68,40.18,9478
09/10/2020 16,36.73,40.17,9549
09/10/2020 17,37.38,40.17,9625
09/10/2020 18,39.53,40.18,9645
09/10/2020 19,37.35,40.18,9446
09/10/2020 20,36.58,40.19,9331
09/10/2020 21,30.32,40.19,9335
09/10/2020 22,28.86,40.19,9192
09/10/2020 23,28.94,40.19,8835
09/10/2020 24,28.84,40.18,8456
09/11/2020 01,28.82,40.18,8194
09/11/2020 02,28.54,40.18,8084
09/11/2020 03,26.26,40.18,8002
09/11/2020 04,25.05,40.19,7955
09/11/2020 05,27.47,40.2,8005
09/11/2020 06,28.18,40.2,8147
09/11/2020 07,28.95,40.2,8429
09/11/2020 08,30.47,40.21,8673
09/11/2020 09,31.35,40.21,8827
09/11/2020 10,36.54,40.22,8935
09/11/2020 11,36.66,40.23,9163
09/11/2020 12,38.6,40.23,9367
09/11/2020 13,39.54,40.24,9482
09/11/2020 14,39.73,40.24,9544
09/11/2020 15,39.8,40.24,9563
09/11/2020 16,186.39,40.45,9478
09/11/2020 17,167.63,40.63,9493
09/11/2020 18,60.51,40.67,9552
09/11/2020 19,37.13,40.67,9367
09/11/2020 20,30.79,40.67,9170
09/11/2020 21,35.63,40.68,9217
09/11/2020 22,29.9,40.68,9133
09/11/2020 23,26.98,40.68,8910
09/11/2020 24,26.48,40.7,8608
09/12/2020 01,23.54,40.72,8365
09/12/2020 02,26.57,40.75,8209
09/12/2020 03,29.98,40.76,8106
