Pool Price,,,
,,,
,,,
,,,
Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
11/25/2020 14,35.06,39.87,10428
11/25/2020 15,32.47,39.86,10407
11/25/2020 16,33.26,39.84,10407
11/25/2020 17,36.87,39.83,10825
11/25/2020 18,36.66,39.83,10970
11/25/2020 19,35.36,39.82,10748
11/25/2020 20,34.55,39.81,10645
11/25/2020 21,34.6,39.81,10475
11/25/2020 22,32.86,39.81,10349
11/25/2020 23,31.58,39.81,10010
11/25/2020 24,33.07,39.82,9680
11/26/2020 01,32.84,39.82,9472
11/26/2020 02,30.91,39.82,9362
11/26/2020 03,30.34,39.81,9322
11/26/2020 04,31.33,39.81,9345
11/26/2020 05,34.2,39.8,9396
11/26/2020 06,34.34,39.79,9556
11/26/2020 07,36.03,39.78,9931
11/26/2020 08,39.35,39.78,10389
11/26/2020 09,37.48,39.78,10568
11/26/2020 10,37.53,39.78,10580
11/26/2020 11,38.11,39.78,10599
11/26/2020 12,36,39.78,10547
11/26/2020 13,35.87,39.78,10544
11/26/2020 14,35.88,39.78,10533
11/26/2020 15,35.23,39.77,10458
11/26/2020 16,33.99,39.77,10537
11/26/2020 17,35.84,39.76,10824
11/26/2020 18,36.09,39.76,10961
11/26/2020 19,35.31,39.76,10774
11/26/2020 20,35.25,39.75,10630
11/26/2020 21,35.25,39.75,10429
11/26/2020 22,34.78,39.75,10198
11/26/2020 23,35.11,39.76,9835
11/26/2020 24,33.25,39.76,9535
11/27/2020 01,32.76,39.76,9274
11/27/2020 02,33.74,39.76,9160
11/27/2020 03,31.34,39.76,9071
11/27/2020 04,31.81,39.75,9121
11/27/2020 05,32.51,39.74,9209
11/27/2020 06,34.32,39.72,9421
11/27/2020 07,35.9,39.62,9800
11/27/2020 08,36.17,39.53,10266
11/27/2020 09,36.39,39.39,10402
11/27/2020 10,35.76,39.19,10435
11/27/2020 11,36.2,38.8,10455
11/27/2020 12,38.69,38.77,10420
11/27/2020 13,33.59,38.75,10438
11/27/2020 14,34.17,38.74,10432
11/27/2020 15,34.2,38.74,10359
11/27/2020 16,35.54,38.73,10395
11/27/2020 17,35.96,38.73,10641
11/27/2020 18,36.2,38.73,10868
11/27/2020 19,34.9,38.72,10660
11/27/2020 20,34.11,38.72,10479
11/27/2020 21,34.16,38.72,10268
11/27/2020 22,32.88,38.72,10013
11/27/2020 23,30.01,38.71,9794
11/27/2020 24,29.69,38.7,9537
11/28/2020 01,29.59,38.7,9406
11/28/2020 02,29.83,38.69,9237
11/28/2020 03,30.45,38.68,9216
11/28/2020 04,28.49,38.67,9234
11/28/2020 05,28.02,38.66,9258
11/28/2020 06,28.17,38.64,9317
11/28/2020 07,28.59,38.62,9449
11/28/2020 08,30.09,38.6,9739
11/28/2020 09,30.52,38.58,9968
11/28/2020 10,30.72,38.56,10097
11/28/2020 11,30.68,38.53,10238
11/28/2020 12,33.05,38.42,10264
11/28/2020 13,37.3,38.42,10178
11/28/2020 14,37.56,38.42,10158
11/28/2020 15,37.56,38.43,10111
11/28/2020 16,37.61,38.43,10186
11/28/2020 17,45.15,38.44,10542
11/28/2020 18,106.89,38.53,10786
11/28/2020 19,76.84,38.58,10631
11/28/2020 20,41.37,38.58,10520
11/28/2020 21,37.79,38.57,10432
11/28/2020 22,37.72,38.57,10236
11/28/2020 23,37.6,38.57,10069
11/28/2020 24,36.22,38.57,9793
11/29/2020 01,34.67,38.57,9619
11/29/2020 02,29.92,38.57,9524
11/29/2020 03,28.66,38.57,9450
11/29/2020 04,28.48,38.56,9435
11/29/2020 05,30.3,38.56,9410
11/29/2020 06,30.57,38.56,9452
11/29/2020 07,30.68,38.55,9594
11/29/2020 08,31.51,38.55,9808
11/29/2020 09,32.25,38.54,9984
11/29/2020 10,34.17,38.54,10126
11/29/2020 11,35.88,38.54,10244
11/29/2020 12,35.88,38.53,10308
11/29/2020 13,36.25,38.53,10304
11/29/2020 14,36.07,38.53,10212
11/29/2020 15,36.07,38.54,10177
11/29/2020 16,36.69,38.54,10289
11/29/2020 17,38.49,38.54,10636
11/29/2020 18,37.09,38.54,10939
11/29/2020 19,36.79,38.55,10744
11/29/2020 20,36.63,38.55,10553
11/29/2020 21,37.46,38.56,10330
11/29/2020 22,36.61,38.57,10136
11/29/2020 23,33.91,38.58,9879
11/29/2020 24,32.85,38.58,9600
11/30/2020 01,29.34,38.58,9417
11/30/2020 02,28.01,38.57,9312
11/30/2020 03,28,38.56,9259
11/30/2020 04,28,38.55,9232
11/30/2020 05,28.28,38.54,9294
11/30/2020 06,29.82,38.52,9460
11/30/2020 07,33.57,38.52,9840
11/30/2020 08,36.04,38.51,10290
11/30/2020 09,36.1,38.5,10459
11/30/2020 10,36.92,38.49,10449
11/30/2020 11,36.8,38.47,10451
11/30/2020 12,37.72,38.47,10528
11/30/2020 13,37.24,38.48,10540
11/30/2020 14,36.37,38.48,10525
11/30/2020 15,36.42,38.48,10505
11/30/2020 16,36.22,38.48,10525
11/30/2020 17,36.17,38.47,10769
11/30/2020 18,36.13,38.47,10935
11/30/2020 19,34.56,38.47,10736
11/30/2020 20,33.03,38.46,10486
11/30/2020 21,32.22,38.46,10316
11/30/2020 22,32.22,38.46,10066
11/30/2020 23,31.78,38.45,9818
11/30/2020 24,31.73,38.45,9545
12/01/2020 01,28.62,38.45,9324
12/01/2020 02,31.34,38.45,9221
12/01/2020 03,32.85,38.45,9157
12/01/2020 04,34.34,38.45,9127
12/01/2020 05,36.29,38.46,9184
12/01/2020 06,36.41,38.47,9365
12/01/2020 07,38.45,38.48,9705
12/01/2020 08,37.82,38.49,10218
12/01/2020 09,38.65,38.5,10437
12/01/2020 10,38.59,38.51,10437
12/01/2020 11,36.26,38.51,10430
12/01/2020 12,37.25,38.51,10446
12/01/2020 13,41.79,38.53,10435
12/01/2020 14,44.51,38.54,10404
12/01/2020 15,38.15,38.54,10369
12/01/2020 16,36.81,38.54,10341
12/01/2020 17,73.32,38.59,10640
12/01/2020 18,39.38,38.59,10927
12/01/2020 19,40.1,38.6,10749
12/01/2020 20,35.97,38.6,10615
12/01/2020 21,34.99,38.6,10430
12/01/2020 22,34.35,38.6,10199
12/01/2020 23,33.88,38.6,9944
12/01/2020 24,32.38,38.61,9630
12/02/2020 01,33.29,38.61,9454
12/02/2020 02,33.27,38.62,9338
12/02/2020 03,33.77,38.63,9280
12/02/2020 04,36.05,38.64,9272
12/02/2020 05,36.22,38.65,9339
12/02/2020 06,38.14,38.65,9505
12/02/2020 07,38.69,38.66,9836
12/02/2020 08,38.6,38.67,10267
12/02/2020 09,39.82,38.67,10425
12/02/2020 10,39.04,38.67,10343
12/02/2020 11,39.13,38.68,10348
12/02/2020 12,38.46,38.68,10305
12/02/2020 13,38.43,38.68,10267
12/02/2020 14,43.78,38.68,10223
12/02/2020 15,70,38.73,10178
12/02/2020 16,72.47,38.77,10257
12/02/2020 17,118.08,38.88,10516
12/02/2020 18,114.59,38.99,10791
12/02/2020 19,52.36,39,10642
12/02/2020 20,42.35,39.01,10542
12/02/2020 21,38.29,39.01,10442
12/02/2020 22,36.36,39.01,10264
12/02/2020 23,34.37,39.01,9972
12/02/2020 24,32.87,39.01,9648
12/03/2020 01,30.97,39.01,9429
12/03/2020 02,30.82,39.01,9345
12/03/2020 03,28.29,39.01,9264
12/03/2020 04,28.06,39,9236
12/03/2020 05,29.81,39,9254
12/03/2020 06,30.2,39,9422
12/03/2020 07,32.14,38.99,9767
12/03/2020 08,35.81,38.98,10225
12/03/2020 09,37.79,38.99,10453
12/03/2020 10,36.6,38.99,10466
12/03/2020 11,36.51,38.98,10475
12/03/2020 12,36.31,38.98,10482
12/03/2020 13,36.32,38.98,10431
12/03/2020 14,36.25,38.98,10396
12/03/2020 15,36.36,38.98,10298
12/03/2020 16,36.58,38.98,10348
12/03/2020 17,38.21,38.98,10628
12/03/2020 18,38.62,38.98,10843
12/03/2020 19,38.52,38.98,10689
12/03/2020 20,37.11,38.97,10545
12/03/2020 21,36.56,38.97,10389
12/03/2020 22,36.76,38.98,10162
12/03/2020 23,32.38,38.98,9912
12/03/2020 24,30.58,38.98,9675
12/04/2020 01,29.98,38.98,9498
12/04/2020 02,29.19,38.98,9405
12/04/2020 03,27.51,38.98,9364
12/04/2020 04,27.4,38.97,9331
12/04/2020 05,26.87,38.97,9344
12/04/2020 06,26.85,38.96,9458
12/04/2020 07,28.21,38.95,9743
12/04/2020 08,30.46,38.95,10081
12/04/2020 09,32.37,38.94,10254
12/04/2020 10,33.41,38.94,10299
12/04/2020 11,33.72,38.94,10323
12/04/2020 12,35.44,38.94,10307
12/04/2020 13,35.81,38.94,10291
12/04/2020 14,35.92,38.93,10342
12/04/2020 15,35.96,38.92,10366
12/04/2020 16,35.94,38.92,10420
12/04/2020 17,35.71,38.91,10676
12/04/2020 18,35.54,38.9,10909
12/04/2020 19,34.37,38.91,10698
12/04/2020 20,33.73,38.91,10521
12/04/2020 21,33.72,38.91,10345
12/04/2020 22,33.17,38.91,10136
12/04/2020 23,33.93,38.91,9894
12/04/2020 24,34.74,38.92,9656
12/05/2020 01,33.68,38.93,9420
12/05/2020 02,30.23,38.93,9228
12/05/2020 03,30.06,38.93,9137
12/05/2020 04,30.1,38.94,9125
12/05/2020 05,30.03,38.94,9122
12/05/2020 06,30.03,38.94,9198
12/05/2020 07,32.6,38.94,9389
12/05/2020 08,34.73,38.94,9635
12/05/2020 09,35.69,38.94,9839
12/05/2020 10,35.89,38.94,9932
12/05/2020 11,35.95,38.94,10045
12/05/2020 12,39.33,38.94,10110
12/05/2020 13,42.02,38.94,10085
12/05/2020 14,48,38.96,10045
12/05/2020 15,60,38.99,10010
12/05/2020 16,38.68,38.99,10052
12/05/2020 17,34.5,38.99,10383
12/05/2020 18,34.76,38.98,10712
12/05/2020 19,36.89,38.98,10546
12/05/2020 20,34.84,38.98,10399
12/05/2020 21,40.75,38.98,10275
12/05/2020 22,39.06,38.97,10114
12/05/2020 23,33.96,38.95,9850
12/05/2020 24,32.31,38.94,9610
12/06/2020 01,30.12,38.93,9428
12/06/2020 02,29.33,38.92,9257
12/06/2020 03,26.76,38.9,9160
12/06/2020 04,29.16,38.89,9166
12/06/2020 05,29.52,38.88,9167
12/06/2020 06,29.11,38.87,9219
12/06/2020 07,26.77,38.85,9285
12/06/2020 08,28.21,38.84,9506
12/06/2020 09,30.17,38.82,9670
12/06/2020 10,30.16,38.81,9770
12/06/2020 11,31.7,38.79,9887
12/06/2020 12,35.61,38.7,10025
12/06/2020 13,35.97,38.68,10012
12/06/2020 14,36.07,38.68,9986
12/06/2020 15,36.02,38.67,9998
12/06/2020 16,36.04,38.65,10095
12/06/2020 17,43.83,38.57,10497
12/06/2020 18,55.68,38.07,10780
12/06/2020 19,37.52,38.05,10567
12/06/2020 20,36.03,38.04,10394
12/06/2020 21,35.51,38.03,10250
12/06/2020 22,34.19,38.03,10001
12/06/2020 23,33.79,38.03,9748
12/06/2020 24,32,38.02,9532
12/07/2020 01,30.1,38.01,9310
12/07/2020 02,29.09,38,9172
12/07/2020 03,30.06,37.99,9114
12/07/2020 04,29.97,37.98,9106
12/07/2020 05,29.79,37.97,9167
12/07/2020 06,30.1,37.95,9344
12/07/2020 07,32.81,37.94,9684
12/07/2020 08,34.87,37.94,10136
12/07/2020 09,37.77,37.94,10364
12/07/2020 10,35.83,37.93,10392
12/07/2020 11,39.2,37.93,10467
12/07/2020 12,38.43,37.92,10518
12/07/2020 13,34.91,37.92,10394
12/07/2020 14,34.09,37.92,10287
12/07/2020 15,31.31,37.91,10189
12/07/2020 16,32.25,37.9,10354
12/07/2020 17,35.06,37.9,10698
12/07/2020 18,38.22,37.9,10864
12/07/2020 19,35.18,37.9,10594
12/07/2020 20,35.39,37.91,10473
12/07/2020 21,34.61,37.91,10318
12/07/2020 22,33.62,37.91,10052
12/07/2020 23,31.12,37.9,9706
12/07/2020 24,30.97,37.9,9408
12/08/2020 01,31.23,37.89,9276
12/08/2020 02,31.24,37.89,9115
12/08/2020 03,31.22,37.89,9041
12/08/2020 04,31.27,37.89,9024
12/08/2020 05,31.32,37.89,9068
12/08/2020 06,32.32,37.89,9256
12/08/2020 07,34.64,37.89,9630
12/08/2020 08,37,37.89,10122
12/08/2020 09,37.64,37.89,10350
12/08/2020 10,37.85,37.9,10366
12/08/2020 11,38.26,37.9,10387
12/08/2020 12,38.29,37.9,10447
12/08/2020 13,37.57,37.91,10421
12/08/2020 14,38.03,37.91,10419
12/08/2020 15,37.63,37.92,10393
12/08/2020 16,37.47,37.92,10433
12/08/2020 17,38.15,37.93,10716
12/08/2020 18,37.82,37.93,10883
12/08/2020 19,51.85,37.95,10662
12/08/2020 20,63.47,37.99,10510
12/08/2020 21,48.19,38.01,10314
12/08/2020 22,40.11,38.02,10090
12/08/2020 23,38.91,38.03,9783
12/08/2020 24,40.98,38.04,9495
12/09/2020 01,40.98,38.04,9291
12/09/2020 02,38.51,38.05,9167
12/09/2020 03,40,38.05,9079
12/09/2020 04,39.36,38.06,9098
12/09/2020 05,35.98,38.06,9219
12/09/2020 06,34.97,38.05,9323
12/09/2020 07,35,38.05,9639
12/09/2020 08,34.99,38.05,10119
12/09/2020 09,36.74,38.05,10405
12/09/2020 10,37.63,38.05,10446
12/09/2020 11,37.85,38.04,10427
12/09/2020 12,37.74,38.04,10479
12/09/2020 13,37.56,38.05,10452
12/09/2020 14,37.29,38.05,10395
12/09/2020 15,37.12,38.05,10422
12/09/2020 16,38.25,38.06,10540
12/09/2020 17,63.18,38.09,10782
12/09/2020 18,398.87,38.6,10856
12/09/2020 19,96.89,38.69,10659
12/09/2020 20,62.66,38.73,10659
12/09/2020 21,111.86,38.84,10525
12/09/2020 22,47.82,38.86,10337
12/09/2020 23,38.65,38.86,10033
12/09/2020 24,41.4,38.88,9776
12/10/2020 01,39.92,38.89,9478
12/10/2020 02,41.26,38.9,9372
12/10/2020 03,37.64,38.91,9301
12/10/2020 04,36.16,38.92,9322
12/10/2020 05,37.6,38.93,9362
12/10/2020 06,37.76,38.93,9537
12/10/2020 07,39.57,38.94,9896
12/10/2020 08,38.14,38.95,10373
12/10/2020 09,43.94,38.96,10659
12/10/2020 10,37.79,38.96,10669
12/10/2020 11,37.5,38.96,10678
12/10/2020 12,40.49,38.96,10689
12/10/2020 13,36.57,38.96,10626
12/10/2020 14,37.42,38.96,10601
12/10/2020 15,37.77,38.97,10635
12/10/2020 16,46.6,38.98,10767
12/10/2020 17,84.14,39.05,11028
12/10/2020 18,93.21,39.13,11175
12/10/2020 19,39.41,39.13,11007
12/10/2020 20,38.19,39.13,10977
12/10/2020 21,38.53,39.14,10871
12/10/2020 22,40.5,39.14,10640
12/10/2020 23,37.63,39.15,10290
12/10/2020 24,38.02,39.16,10003
12/11/2020 01,37.49,39.17,9844
12/11/2020 02,37.82,39.17,9744
12/11/2020 03,37.64,39.17,9663
12/11/2020 04,37.65,39.18,9599
12/11/2020 05,38.58,39.18,9701
12/11/2020 06,40.37,39.18,9904
12/11/2020 07,46.5,39.2,10257
12/11/2020 08,39.37,39.2,10717
12/11/2020 09,54.28,39.22,11027
12/11/2020 10,64.23,39.26,11110
12/11/2020 11,68.69,39.3,11145
12/11/2020 12,78.1,39.36,11169
12/11/2020 13,57.31,39.38,11142
12/11/2020 14,61.1,39.42,11067
12/11/2020 15,49.43,39.43,11027
12/11/2020 16,61.59,39.46,11021
12/11/2020 17,81.19,39.52,11205
12/11/2020 18,187.81,39.62,11207
12/11/2020 19,161.19,39.74,11058
12/11/2020 20,70.74,39.78,11019
12/11/2020 21,44.36,39.79,10928
12/11/2020 22,34.87,39.78,10707
12/11/2020 23,34.77,39.78,10429
12/11/2020 24,38.64,39.78,10135
12/12/2020 01,36.43,39.78,9918
12/12/2020 02,34.96,39.78,9742
12/12/2020 03,34.98,39.78,9617
12/12/2020 04,35,39.78,9577
12/12/2020 05,35.02,39.78,9566
12/12/2020 06,34.87,39.78,9614
12/12/2020 07,34.97,39.78,9763
12/12/2020 08,30.09,39.77,10013
12/12/2020 09,34.74,39.77,10315
12/12/2020 10,36.96,39.77,10497
12/12/2020 11,35.05,39.76,10653
12/12/2020 12,37.28,39.76,10715
12/12/2020 13,38.1,39.77,10801
12/12/2020 14,38.18,39.77,10803
12/12/2020 15,35.79,39.77,10782
12/12/2020 16,35.72,39.77,10869
12/12/2020 17,35.54,39.76,11182
12/12/2020 18,35.65,39.76,11317
12/12/2020 19,36.78,39.75,11141
12/12/2020 20,38.02,39.75,11124
12/12/2020 21,37.23,39.75,10994
12/12/2020 22,37.51,39.75,10807
12/12/2020 23,34.82,39.75,10483
12/12/2020 24,35.04,39.76,10204
12/13/2020 01,35.14,39.77,10013
12/13/2020 02,33.8,39.77,9885
12/13/2020 03,34.59,39.78,9799
12/13/2020 04,34.97,39.78,9741
12/13/2020 05,35.09,39.78,9781
12/13/2020 06,37.1,39.79,9874
12/13/2020 07,38.35,39.8,10021
12/13/2020 08,38.42,39.8,10258
12/13/2020 09,38.57,39.8,10456
12/13/2020 10,38.61,39.8,10607
12/13/2020 11,40.86,39.81,10781
12/13/2020 12,70.4,39.85,10890
12/13/2020 13,69.02,39.9,10961
12/13/2020 14,41.91,39.9,10952
12/13/2020 15,38.16,39.89,10954
12/13/2020 16,38.35,39.88,11081
12/13/2020 17,44.38,39.89,11348
12/13/2020 18,197.2,40.09,11503
12/13/2020 19,92.68,40.16,11335
12/13/2020 20,43.5,40.17,11263
12/13/2020 21,35.06,40.17,11117
12/13/2020 22,35.11,40.17,10860
12/13/2020 23,36.25,40.17,10540
12/13/2020 24,36.97,40.17,10235
12/14/2020 01,35.86,40.17,10064
12/14/2020 02,35.14,40.17,9943
12/14/2020 03,35,40.17,9838
12/14/2020 04,34.95,40.17,9770
12/14/2020 05,34.98,40.17,9813
12/14/2020 06,35.05,40.17,9955
12/14/2020 07,37.9,40.17,10317
12/14/2020 08,38.08,40.17,10788
12/14/2020 09,38.53,40.18,11084
12/14/2020 10,38.54,40.18,11136
12/14/2020 11,38.46,40.19,11152
12/14/2020 12,38.5,40.19,11209
12/14/2020 13,38.39,40.19,11166
12/14/2020 14,37.21,40.2,11083
12/14/2020 15,36.87,40.2,11014
12/14/2020 16,37.43,40.2,11072
12/14/2020 17,36.55,40.2,11255
12/14/2020 18,36.5,40.18,11354
12/14/2020 19,30.7,40.15,11174
12/14/2020 20,30.08,40.14,11076
12/14/2020 21,30.94,40.13,10884
12/14/2020 22,37.81,40.13,10642
12/14/2020 23,34.81,40.13,10314
12/14/2020 24,30.62,40.12,10030
12/15/2020 01,30.11,40.11,9859
12/15/2020 02,30.12,40.1,9765
12/15/2020 03,30.03,40.1,9705
12/15/2020 04,30,40.09,9702
12/15/2020 05,30.39,40.08,9725
12/15/2020 06,34.79,40.08,9856
12/15/2020 07,36.29,40.08,10155
12/15/2020 08,36.73,40.09,10595
12/15/2020 09,38.91,40.1,10877
12/15/2020 10,36.94,40.1,10923
12/15/2020 11,36.25,40.11,10951
12/15/2020 12,36.42,40.11,11009
12/15/2020 13,36.36,40.11,11006
12/15/2020 14,36.31,40.11,10972
12/15/2020 15,36.42,40.12,10972
12/15/2020 16,38.71,40.12,11023
12/15/2020 17,43.87,40.14,11230
12/15/2020 18,53.5,40.16,11330
12/15/2020 19,34.19,40.16,11148
12/15/2020 20,35.33,40.16,11019
12/15/2020 21,36.14,40.16,10832
12/15/2020 22,35,40.17,10595
12/15/2020 23,32,40.16,10248
12/15/2020 24,30.36,40.16,9916
12/16/2020 01,29.96,40.15,9701
12/16/2020 02,29.98,40.15,9649
12/16/2020 03,28.65,40.14,9590
12/16/2020 04,28.19,40.14,9557
12/16/2020 05,29.15,40.14,9604
12/16/2020 06,29.87,40.13,9711
12/16/2020 07,30.14,40.12,9970
12/16/2020 08,33.58,40.12,10417
12/16/2020 09,36,40.12,10658
12/16/2020 10,36.01,40.12,10697
12/16/2020 11,36.21,40.12,10806
12/16/2020 12,36.21,40.12,10806
12/16/2020 13,35.95,40.12,10736
12/16/2020 14,36.16,40.11,10735
12/16/2020 15,36.24,40.11,10721
12/16/2020 16,37.55,40.1,10845
12/16/2020 17,39.94,40.1,11183
12/16/2020 18,42.57,40,11326
12/16/2020 19,39.17,39.91,11034
12/16/2020 20,35.32,39.89,10861
12/16/2020 21,36.02,39.84,10643
12/16/2020 22,36.09,39.82,10406
12/16/2020 23,34.54,39.81,10097
12/16/2020 24,34.42,39.8,9851
12/17/2020 01,34.36,39.78,9704
12/17/2020 02,35.06,39.77,9642
12/17/2020 03,35.02,39.76,9566
12/17/2020 04,33.76,39.75,9550
12/17/2020 05,30.43,39.74,9541
12/17/2020 06,30.13,39.72,9700
12/17/2020 07,33.28,39.71,10064
12/17/2020 08,34.37,39.69,10543
12/17/2020 09,38.22,39.67,10815
12/17/2020 10,36.67,39.61,10843
12/17/2020 11,34.26,39.58,10872
12/17/2020 12,35.04,39.56,10940
12/17/2020 13,34.32,39.53,10913
12/17/2020 14,34.41,39.53,10934
12/17/2020 15,34.2,39.53,10991
12/17/2020 16,34.22,39.53,11059
12/17/2020 17,35.23,39.52,11309
12/17/2020 18,38.84,39.53,11428
12/17/2020 19,34.68,39.54,11274
12/17/2020 20,35.17,39.54,11192
12/17/2020 21,36.43,39.55,10974
12/17/2020 22,37.76,39.56,10780
12/17/2020 23,36.77,39.57,10476
12/17/2020 24,37.5,39.58,10218
12/18/2020 01,37.07,39.59,10016
12/18/2020 02,39.08,39.6,9902
12/18/2020 03,41.36,39.62,9860
12/18/2020 04,40.91,39.63,9872
12/18/2020 05,39.96,39.64,9884
12/18/2020 06,36.32,39.64,10044
12/18/2020 07,36.1,39.64,10361
12/18/2020 08,34.35,39.64,10795
12/18/2020 09,34.44,39.64,11024
12/18/2020 10,34.32,39.63,11042
12/18/2020 11,32.98,39.62,11053
12/18/2020 12,33.01,39.62,11020
12/18/2020 13,32.95,39.61,10963
12/18/2020 14,32.93,39.6,10903
12/18/2020 15,32.96,39.6,10873
12/18/2020 16,32.77,39.59,10943
12/18/2020 17,33,39.57,11214
12/18/2020 18,33.11,39.53,11345
12/18/2020 19,32.94,39.52,11158
12/18/2020 20,32.22,39.51,11001
12/18/2020 21,30.05,39.51,10798
12/18/2020 22,32.89,39.5,10556
12/18/2020 23,31.55,39.49,10307
12/18/2020 24,30.17,39.47,10020
12/19/2020 01,30.29,39.46,9813
12/19/2020 02,31.28,39.46,9643
12/19/2020 03,29.15,39.44,9529
12/19/2020 04,28.88,39.43,9508
12/19/2020 05,29.86,39.42,9496
12/19/2020 06,29.98,39.41,9549
12/19/2020 07,30.57,39.39,9672
12/19/2020 08,30.21,39.28,9928
12/19/2020 09,34.87,39.26,10137
12/19/2020 10,35.18,39.24,10211
12/19/2020 11,35.31,39.19,10274
12/19/2020 12,34.81,39.01,10323
12/19/2020 13,34.84,38.91,10371
12/19/2020 14,34.08,38.88,10366
12/19/2020 15,34.71,38.87,10263
12/19/2020 16,35.23,38.87,10338
12/19/2020 17,36.97,38.86,10716
12/19/2020 18,37.3,38.68,10969
12/19/2020 19,37.07,38.49,10807
12/19/2020 20,36.92,38.47,10628
12/19/2020 21,36.95,38.42,10445
12/19/2020 22,35.75,38.41,10270
12/19/2020 23,32.71,38.4,10007
12/19/2020 24,29.45,38.39,9749
12/20/2020 01,27.68,38.38,9585
12/20/2020 02,28.5,38.37,9452
12/20/2020 03,27.18,38.36,9366
12/20/2020 04,26.67,38.35,9326
12/20/2020 05,26.41,38.34,9295
12/20/2020 06,29.31,38.33,9339
12/20/2020 07,30.03,38.32,9469
12/20/2020 08,29.9,38.32,9666
12/20/2020 09,29.96,38.31,9862
12/20/2020 10,29.74,38.3,9999
12/20/2020 11,30.02,38.29,10141
12/20/2020 12,30.95,38.29,10270
12/20/2020 13,33.23,38.28,10321
12/20/2020 14,32.68,38.28,10242
12/20/2020 15,30.92,38.28,10208
12/20/2020 16,31.96,38.28,10300
12/20/2020 17,35.14,38.28,10612
12/20/2020 18,36.17,38.28,10855
12/20/2020 19,34.7,38.28,10720
12/20/2020 20,34.23,38.28,10603
12/20/2020 21,34.18,38.28,10430
12/20/2020 22,34.23,38.28,10252
12/20/2020 23,32.64,38.29,9988
12/20/2020 24,31.42,38.29,9702
12/21/2020 01,31.21,38.29,9506
12/21/2020 02,30.68,38.29,9387
12/21/2020 03,29.88,38.29,9374
12/21/2020 04,29.93,38.29,9405
12/21/2020 05,32.03,38.29,9455
12/21/2020 06,35.36,38.3,9614
12/21/2020 07,37.55,38.31,9939
12/21/2020 08,35.22,38.32,10265
12/21/2020 09,35.63,38.32,10531
12/21/2020 10,35.59,38.32,10574
12/21/2020 11,41.71,38.33,10659
12/21/2020 12,45.43,38.34,10672
12/21/2020 13,61.05,38.38,10727
12/21/2020 14,129.82,38.51,10635
12/21/2020 15,107.42,38.61,10622
12/21/2020 16,56.18,38.64,10692
12/21/2020 17,60.47,38.66,10985
12/21/2020 18,69.65,38.65,11125
12/21/2020 19,42.71,38.66,10966
12/21/2020 20,35.68,38.66,10820
12/21/2020 21,39.73,38.66,10711
12/21/2020 22,37.85,38.67,10495
12/21/2020 23,37.78,38.68,10169
12/21/2020 24,38.65,38.68,9852
12/22/2020 01,37.85,38.69,9642
12/22/2020 02,37.69,38.7,9428
12/22/2020 03,36.44,38.7,9438
12/22/2020 04,32.09,38.7,9463
12/22/2020 05,29.78,38.7,9539
12/22/2020 06,29.6,38.7,9648
12/22/2020 07,33.64,38.7,9953
12/22/2020 08,34.44,38.71,10397
12/22/2020 09,37.33,38.72,10671
12/22/2020 10,37.8,38.73,10726
12/22/2020 11,37.93,38.73,10791
12/22/2020 12,36.24,38.73,10858
12/22/2020 13,36.34,38.74,10880
12/22/2020 14,36.94,38.74,10839
12/22/2020 15,36.28,38.74,10817
12/22/2020 16,35.7,38.74,10848
12/22/2020 17,36.51,38.75,11124
12/22/2020 18,36.54,38.75,11340
12/22/2020 19,36.45,38.75,11173
12/22/2020 20,36.7,38.75,11052
12/22/2020 21,42.23,38.76,10882
12/22/2020 22,52.7,38.78,10630
12/22/2020 23,39.23,38.8,10377
12/22/2020 24,36.56,38.8,10074
12/23/2020 01,36.6,38.81,9900
12/23/2020 02,36.46,38.82,9853
12/23/2020 03,36.38,38.83,9869
12/23/2020 04,35.22,38.84,9900
12/23/2020 05,34.62,38.85,9924
12/23/2020 06,34.94,38.85,10033
12/23/2020 07,34.89,38.85,10231
12/23/2020 08,34.73,38.81,10506
12/23/2020 09,34.7,38.76,10759
12/23/2020 10,34.97,38.71,10828
12/23/2020 11,34.67,38.54,10897
12/23/2020 12,34.6,38.4,10900
12/23/2020 13,34.59,38.39,10840
12/23/2020 14,34.42,38.39,10809
12/23/2020 15,34.37,38.39,10756
12/23/2020 16,34.63,38.39,10787
12/23/2020 17,37.44,38.39,11062
12/23/2020 18,42.69,38.35,11276
12/23/2020 19,36.95,38.35,11056
12/23/2020 20,34.41,38.35,10897
12/23/2020 21,34.35,38.35,10702
12/23/2020 22,33.3,38.34,10494
12/23/2020 23,32.11,38.34,10191
12/23/2020 24,30.66,38.33,9890
12/24/2020 01,29.39,38.32,9638
12/24/2020 02,28.85,38.32,9492
12/24/2020 03,28.47,38.31,9438
12/24/2020 04,28.42,38.3,9423
12/24/2020 05,28.45,38.29,9419
12/24/2020 06,29.25,38.29,9475
12/24/2020 07,30.3,38.28,9701
12/24/2020 08,29.77,38.26,10044
12/24/2020 09,34.03,38.26,10319
12/24/2020 10,34.55,38.26,10380
12/24/2020 11,34.56,38.25,10375
12/24/2020 12,34.53,38.25,10360
12/24/2020 13,34.42,38.26,10309
12/24/2020 14,34.41,38.26,10223
12/24/2020 15,31.9,38.26,10152
12/24/2020 16,34.42,38.27,10200
